Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefonos
Farmacia Goes,Montevideo,Montevideo,Av. Gral. Flores 2837 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,https://www.facebook.com/FarmaciaGoes2837/,https://www.instagram.com/farmacia_goes/?hl=es-la,https://uy.latinoplaces.com/montevideo/farmacia-goes-1132662,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipMtRW44wsOkwmId3ntmVqIxBFwx0NwgtjbnvfiA=w408-h408-k-no,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,97263195
Farmacia El Túnel,Montevideo,Montevideo,Avelino Miranda 2615 esquina Av. Italia Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.eltunel.com.uy/,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipP0GiaFsfbXDPkEhkc7lRUAN12gxLh42c3sK28i=w408-h270-k-no,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,24068096
Farmacia Moderna II,Montevideo,Montevideo,Cufré 1902 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-moderna-ii-2401-4787,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipN1YAUdqmBf6GW4N3FEWHEkJ05yq1XG0tn4X4mr=w408-h306-k-no,3488560,5623453,Espacio cerrado,Todas,Grupo,10,,Farmacias,24014787
Farmacia Milena,Montevideo,Montevideo,Comercio 2440 11400 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://1122.com.uy/local/farmacia-milena/LOC19720001,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipNMUhYyTKDaMkukkPGkvGHBzcxxbeL9m3HVyXsz=w408-h884-k-no,3483761,5621863,Espacio cerrado,Todas,Grupo,10,,Farmacias,25065090
Farmacia San Antonio Centro,Montevideo,Montevideo,Av. 18 de Julio 841 11100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.paseocentro.com.uy/producto/farmacia-san-antonio/,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipONnO1osGzW3QTWpp98VxsHQeYrocVVvJsv7DTQ=w408-h272-k-no,3490630,5626846,Espacio cerrado,Todas,Grupo,10,,Farmacias,29000368
Farmacia Tundisi,Montevideo,Montevideo,Av Gral Rondeau 1404 11100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,https://www.instagram.com/farmaciatundisiobelisco/?hl=es,https://1122.com.uy/local/farmacia-tundisi/LOC528360001,Medicamentos disponibles,https://lh5.googleusercontent.com/p/AF1QipM578DmHVW6r3mNymn4idYS67-KepNm8rL32G0S=w408-h544-k-no,3490630,5626846,Espacio cerrado,Todas,Grupo,10,,Farmacias,29007967
Farmacia Burgues,Montevideo,Montevideo,Av. Burgues 3301 11700 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://uy.todosnegocios.com/farmacia-burgues-2200-0400,Medicamentos disponibles,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c9As8JcmFJTmuQ8ieUQ8aA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.9669&pitch=0&thumbfov=100,3490630,5626846,Espacio cerrado,Todas,Grupo,10,,Farmacias,22000400
Estación Servicio Petrobras,Montevideo,Montevideo,Gral. Pagola 2340 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.petrobras.com.uy/,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipNupkAlwgQ_FJOCSMGs9i2qsd7Nmrq-9viGdILR=w426-h240-k-no,3490629,5626846,Ambas,Todas,Grupo,10,,Estaciones de Servicio,24092525
ANCAP Estación de servicio NICRE,Montevideo,Montevideo,Dr. Fernández Crespo 2197 y Nicaragua 11800 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,http://www.portalnautico.com.uy/EstacionANCAP_NICRE_FernandezCrespo_Nicaragua.htm,Nafta y viveres,https://lh5.googleusercontent.com/p/AF1QipMBMiPTyMB8qyKcdK2nqvcDlM_s1KKuFxsvP01S=w426-h240-k-no,3490629,5626846,Ambas,Todas,Grupo,10,,Estaciones de Servicio,29242625
Estacion de servicio,Montevideo,Montevideo,Cno. Carrasco 4680 12100 Montevideo Departamento de Montevideo,0:00:00,23:59:59,,,https://www.transportecarretero.com.uy/estaciones-de-servicio.html,Nafta y viveres,https://www.transportecarretero.com.uy/estaciones-de-servicio.html,3487114,5618610,Ambas,Todas,Grupo,10,,Estaciones de Servicio,25255762
