Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,Tipo,Telefonos
Estacion de Servicio Axion,Montevideo,Montevideo,San Quinton 2314,00:00:00,23:59:59,,,https://www.axionenergy.com/Paginas/index.aspx,Nafta y viveres,3485781,5626671,Ambos,Todas,Grupo,372,Estaciones de Servicio,23055305
Ancap,Montevideo,Montevideo,Joanico 3615,00:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,3485781,5626671,Ambos,Todas,Grupo,2020,Estaciones de Servicio,25089234
Estacion de servicio,Montevideo,Montevideo,Uruguayana 3524,00:00:00,23:59:59,,,https://www.transportecarretero.com.uy/estaciones-de-servicio.html,Nafta y viveres,3485781,5626671,Ambos,Todas,Grupo,533,Estaciones de Servicio,11111111
Ancap Prado,Montevideo,Montevideo,Avda. Millan 3771 Av. Joaquin Suarez,00:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,3485781,5626671,Ambos,Todas,Grupo,444,Estaciones de Servicio,23362197
Ancap,Montevideo,Montevideo,Av. Luis Alberto de Herrera 1356,00:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,3485781,5626671,Ambos,Todas,Grupo,3991,Estaciones de Servicio,26285868
Ancap,Montevideo,Montevideo,Pres. Ing. Jose Serrato 3250,00:00:00,23:59:59,,,http://www.ducsa.com.uy/estaciones,Nafta y viveres,3483761,5621863,Ambos,Todas,Grupo,121,Estaciones de Servicio,25083927
Seccional N 13 Policia de Montevideo,Montevideo,Montevideo,Bv. Gral. Artigas 3145,00:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,3486986,5620663,Espacio cerrado,Todas,Grupo,252,Seccionales,22036085
Seccional N 19 Policia de Montevideo,Montevideo,Montevideo,Av. Carlos Maria Ramirez 181,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/transparencia-jpm/seccionales-jpm,Seccional oficial,3485698,5625964,Espacio cerrado,Todas,Grupo,2746,Seccionales,20302319
Seccional N 4 Policia de Montevideo,Montevideo,Montevideo,C. Miguelete 1973,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,3489319,5621203,Espacio cerrado,Todas,Grupo,81,Seccionales,24083687
Seccional N 9 Policia,Montevideo,Montevideo,Casi Garibaldi Luis Sambucetti 2687,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,3489319,5621203,Espacio cerrado,Todas,Grupo,921,Seccionales,20302523
Seccional N 3 Policia,Montevideo,Montevideo,Paysandu 1230,00:00:00,23:59:59,,,https://www.minterior.gub.uy/,Seccional oficial,3489319,5621203,Espacio cerrado,Todas,Grupo,420,Seccionales,20302303
Seccional N 17 Policia de Montevideo,Montevideo,Montevideo,Blvr. Aparicio Saravia 2213,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,3483634,5620781,Espacio cerrado,Todas,Grupo,3409,Seccionales,20302317
Seccional N 7 Policia de Montevideo,Montevideo,Montevideo,Felix Maria Olmedo 3670,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/index.php/transparencia-jpm/dependencias-de-la-jefatura/division-1?id=1300,Seccional oficial,3486424,5624366,Espacio cerrado,Todas,Grupo,3754,Seccionales,23093306
Seccional 1° de Policia | Jefatura de Policia de Montevideo,Montevideo,Montevideo,25 de Mayo 236,00:00:00,23:59:59,,,https://policia.minterior.gub.uy/,Seccional oficial,3490767,5624586,Espacio cerrado,Todas,Grupo,1287,Seccionales,20302301
Seccional N 6 Policia de Montevideo,Montevideo,Montevideo,Av. Agraciada 2473,00:00:00,23:59:59,,,http://www.minterior.gub.uy/,Seccional oficial,3490767,5624586,Espacio cerrado,Todas,Grupo,4046,Seccionales,20302306
