Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,puntosinteres_id,Tipo,Telefono
Casino Municipal Parque Hotel,Montevideo,Montevideo,914 Joaquín De Salterain Montevideo Montevideo 11200 · ~38 km,0:00:00,23:59:59,https://www.facebook.com/casinoparquehotelmontevideo,https://www.instagram.com/casinoparquehotel/,http://www.casinoparquehotel.com.uy/,Casinon en parque con hotel.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/323093222_692906525555185_1632554295721299564_n.jpg?stp=dst-jpg_p600x600&_nc_cat=111&ccb=1-7&_nc_sid=e3f864&_nc_eui2=AeEWZp-WrfCWElkdaVBYPjHLoYm5ZYJdlS6hibllgl2VLsl8eVJfBkRrFCP3e7rEfmYxNIEPZADd2lAvvbPyBsbi&_nc_ohc=PRtiGZia3DIAX9GiBWJ&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfBIE98_wgqxl2cehfRnATlcMTpMEPqUE47hnwZL6JkgUw&oe=63D30DDC,3490689,5617437,Ambos,Mayores,Grupos,4,,Casino,29086464
Casinos del Estado Victoria Plaza,Montevideo,Montevideo,Colonia 758 11100 Montevideo Departamento de Montevideo Uruguay · ~46 km,0:00:00,23:59:59,https://www.facebook.com/VictoriaPlazaCasino,https://www.instagram.com/victoriaplazacasinouy/,https://www.casinovictoriaplaza.com.uy/,Casino de victoria.,https://www.radissonvictoriaplaza.com.uy/plantillas/images/casino/logo.png,3490689,5618750,Espacio cerrado,Mayores,Grupos,5,,Casino,29022155
Dirección General De Casinos,Montevideo,Montevideo,Soriano 802 Montevideo Montevideo 11100 · ~202 km,9:00:00,17:00:00,https://www.facebook.com/casinosdelestado/,https://www.instagram.com/casinos_uruguay/,https://www.gub.uy/ministerio-economia-finanzas/direcci%C3%B3n-general-casinos,Casinos generales.,https://www.gub.uy/ministerio-economia-finanzas/sites/ministerio-economia-finanzas/files/styles/listado/public/2021-10/iso%206.png?itok=p_33phv9,3490851,5620099,Ambos,Mayores,Grupos,6,,Casino,29015131
Casino Carrasco,Montevideo,Montevideo,Municipio E Montevideo 11500 · ~162 km,12:00:00,17:00:00,https://www.facebook.com/casinocarrasco/,,https://casinocarrasco.com.uy/,Casino Carrasco,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/292583295_2588918484576905_5220129709125681345_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=e3f864&_nc_ohc=Bt36S0PaXx0AX_2utYy&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfBu6rk7Vk5GXYuuUiZW4bWttL2rBWl7D4yvhO5i2sKW9g&oe=63D51DC3,3487836,5609102,Espacio cerrado,Mayores,Grupos,7,,Casino,2.60E+12
Casino Maroñas Centro,Montevideo,Montevideo,Av. 18 De Julio 1297 Montevideo Montevideo 11100 · ~195 km,0:00:00,23:59:59,,,,Casino de Maroñas en el centro.,,3490553,5619030,Espacio cerrado,Mayores,Grupos,8,,Casino,29008149
Casino Maroñas Montevideo Shopping,Montevideo,Montevideo,Av.Dr.Luis a. de Herrera 1290 Montevideo Shopping Montevideo 11326 · ~176 km,0:00:00,23:59:59,https://www.facebook.com/EntertainmentMaronas,,http://www.slotmaronas.com.uy/,Casino de Maroñas en Montevideo Shopping.,https://www.bing.com/th?id=ALURGuk%2bgPME7bw480x360&w=137&h=183&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3490280,5613897,Espacio cerrado,Mayores,Grupos,9,,Casino,26225055
Casino tu mejor chance,Montevideo,Montevideo,Justicia 11800 Montevideo Departamento de Montevideo Uruguay · ~24 km,0:00:00,23:59:59,,,,El casino de la suerte.,,3490280,5615429,Espacio cerrado,Mayores,Grupos,0,,Casino,0
Casino Importaciones,Montevideo,Montevideo,Justicia 2335 11800 Montevideo Departamento de Montevideo Uruguay · ~21 km,15:00:00,21:00:00,https://www.facebook.com/Bailacasinouruguay/,,,Casino importante.,https://scontent.fmvd4-1.fna.fbcdn.net/v/t39.30808-6/302289733_507857991343722_1442248080597072878_n.png?_nc_cat=110&ccb=1-7&_nc_sid=e3f864&_nc_ohc=FNUJW-TITUcAX-E3-6y&_nc_ht=scontent.fmvd4-1.fna&oh=00_AfD6x-n7h8rZZWd5r5Nf8H3dmyMkPy3Z1CA9es7QgMRVbw&oe=63D63F7C,3488682,5618180,Espacio cerrado,Mayores,Grupos,1,,Casino,22000127
A 20 mts Casino Radisson con garage,Montevideo,Montevideo,815 Colonia Montevideo 11100 · ~46 km,0:00:00,23:59:59,,,,A solo 20 metros el mejor casino.,https://www.bing.com/th?id=A1EpMgDohQaLWtw480x360&w=82&h=183&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3490556,5620139,Espacio cerrado,Mayores,Grupos,2,,Casino,0
M2 STUDIO. NEW. NEAR MDEO SHOPPING, WTC, POCITOS BEACH AND CASINO,Montevideo,Montevideo,Montevideo Montevideo · ~5 km,0:00:00,23:59:59,,,,Estudio con Casino.,https://www.bing.com/th?id=A2RmL0PDWPSTvKw480x360&w=183&h=183&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3490556,5620796,Espacio cerrado,Mayores,Grupos,3,,Casino,0
Casilla de Guardavidas - Playa Carrasco Bajada Casino,Montevideo,Montevideo,Rambla República de México 6159 11400 Montevideo Departamento de Montevideo Uruguay · ~114 km,9:00:00,17:00:00,https://www.facebook.com/montevideoIM/,https://www.instagram.com/montevideoim/,https://montevideo.gub.uy/institucional/dependencias/guardavidas,Casino de guardavidas.,https://www.bing.com/th?id=A4WlciJlB5zOW2w480x360&w=127&h=87&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3489788,5606565,Ambos,Mayores,Grupos,4,,Casino,99019500
Angel Tucci y Cia,Montevideo,Montevideo,Av Italia 3656 Montevideo Montevideo 11400 · ~43 km,9:00:00,18:30:00,https://www.facebook.com/AngelTucci.uy/,https://www.instagram.com/angeltucci.uy/,https://tucci.com.uy/terminos-y-condiciones/,Juegos de mesa, como Pool.,https://www.bing.com/th?id=ATYFQfLtIQwDYYA480x360&w=183&h=183&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3488689,5613635,Ambos,Mayores,Grupos,5,,Pool,98546523
El Viejo Pool,Montevideo,Montevideo,gral flores Av. Gral. José Garibaldi y 11800 Montevideo Uruguay,0:00:00,23:59:59,,,,Pool para ancianos.,,3487640,5618176,Espacio cerrado,Mayores,Grupos,6,,Pool,0
Picapalos Pool,Montevideo,Montevideo,Calle Doctor Pablo de María Municipio B Montevideo 11200,0:00:00,23:59:59,,,,Para picarla en el poo.,,3487640,5621459,Espacio cerrado,Mayores,Grupos,7,,Pool,0
8 Perros Pool Boliche,Montevideo,Montevideo,Av. Uruguay 1150 11100 Montevideo Departamento de Montevideo Uruguay · ~41 km,0:00:00,23:59:59,,,,Pool fiel como el mejor amigo del hombre.,,3490554,5619487,Espacio cerrado,Mayores,Grupos,8,,Pool,0
Pool De Nando,Montevideo,Montevideo,Calle Francisco Aguilar Municipio CH Montevideo 11300,0:00:00,23:59:59,,,,En lo de nando, mediante pools.,,3491120,5616657,Espacio cerrado,Mayores,Grupos,9,,Pool,0
Vintage Pool Pub,Montevideo,Montevideo,Pablo De Maria Y Canelones Montevideo Montevideo Department Montevideo Department 11200 · ~43 km,19:00:00,4:00:00,https://www.facebook.com/profile.php?id=100047698485763,,,Pool Vintage.,https://www.bing.com/th?id=A2HK4EvWbymHd5Q480x360&w=208&h=183&c=8&rs=1&qlt=90&dpr=1.3&pid=3.1&rm=2,3490724,5617300,Espacio cerrado,Mayores,Grupos,0,,Pool,24091442
